SMILES,xtbS1,xtbT1
OC[C@H]1[C@H]2C[C@H]2[C@H]1O,6.644,6.642
OC[C@H]1[C@H]2N[C@H]2[C@H]1O,6.671,6.668
OC[C@H]1[C@H]2O[C@H]2[C@H]1O,6.318,6.313
C(CC1CC1)C1CC1,7.487,7.485
C(C[C@H]1CO1)C1CC1,6.808,6.804
C(C[C@H]1CO1)[C@H]1CO1,6.773,6.767
C(CN1CC1)C1CC1,6.173,6.147
C(CN1CC1)[C@H]1CO1,6.225,6.196
C(CN1CC1)N1CC1,6.188,6.161
C(OC1CC1)C1CC1,6.54,6.535
C(OC1CC1)[C@H]1CN1,6.452,6.447
C(OC1CC1)[C@H]1CO1,6.6,6.595
C1CC1C#CC1CC1,6.299,6.296
C1CC1C#C[C@H]1CN1,6.127,6.118
C1CC1C#C[C@H]1CO1,6.321,6.309
C1N[C@H]1C#C[C@H]1CN1,6.045,6.041
C1N[C@H]1C#C[C@H]1CO1,6.188,6.185
C1O[C@H]1C#C[C@H]1CO1,6.468,6.446
C#C[C@]12C[C@H]1[C@H]1C[C@@H]21,5.253,5.252
C#C[C@]12C[C@H]1[C@H]1C[N@@]21,5.507,5.501
C#C[C@]12C[C@H]1[C@H]1N[C@@H]21,5.534,5.532
C#C[C@]12C[C@H]1[C@H]1O[C@@H]21,5.614,5.61
C#C[C@]12C[C@H]1[N@]1C[C@@H]21,5.526,5.525
C#C[C@]12C[N@]1[C@H]1C[C@@H]21,5.644,5.643
C#C[C@]12N[C@H]1[C@H]1C[C@@H]21,5.58,5.579
C#C[C@]12N[C@H]1[C@H]1N[C@@H]21,5.903,5.901
C#C[C@]12N[C@H]1[C@H]1O[C@@H]21,5.906,5.902
C#C[C@]12O[C@H]1[C@H]1C[C@@H]21,5.677,5.672
C#C[C@]12O[C@H]1[C@H]1N[C@@H]21,5.893,5.886
C#C[C@]12O[C@H]1[C@H]1O[C@@H]21,6.023,6.011
N#C[C@]12C[C@H]1[C@H]1C[C@@H]21,5.335,5.333
N#C[C@]12C[C@H]1[C@H]1C[N@@]21,5.682,5.677
N#C[C@]12C[C@H]1[C@H]1N[C@@H]21,5.665,5.664
N#C[C@]12C[C@H]1[C@H]1O[C@@H]21,5.737,5.732
N#C[C@]12C[C@H]1[N@]1C[C@@H]21,5.663,5.661
N#C[C@]12C[N@]1[C@H]1C[C@@H]21,5.743,5.742
N#C[C@]12N[C@H]1[C@H]1C[C@@H]21,5.648,5.646
N#C[C@]12N[C@H]1[C@H]1N[C@@H]21,6.023,6.021
N#C[C@]12N[C@H]1[C@H]1O[C@@H]21,6.006,6.0
N#C[C@]12O[C@H]1[C@H]1C[C@@H]21,5.722,5.718
N#C[C@]12O[C@H]1[C@H]1N[C@@H]21,5.977,5.971
N#C[C@]12O[C@H]1[C@H]1O[C@@H]21,6.178,6.17
O=C[C@]12C[C@H]1[C@H]1C[C@@H]21,4.432,3.845
O=C[C@]12C[C@H]1[C@H]1C[N@@]21,4.159,3.996
O=C[C@]12C[C@H]1[C@H]1N[C@@H]21,4.507,4.081
O=C[C@]12C[C@H]1[C@H]1O[C@@H]21,4.451,4.207
O=C[C@]12C[C@H]1[N@]1C[C@@H]21,4.589,4.135
O=C[C@]12C[N@]1[C@H]1C[C@@H]21,4.366,4.031
O=C[C@]12N[C@H]1[C@H]1C[C@@H]21,4.34,3.894
O=C[C@]12N[C@H]1[C@H]1N[C@@H]21,4.397,4.124
O=C[C@]12N[C@H]1[C@H]1O[C@@H]21,4.044,4.0
O=C[C@]12O[C@H]1[C@H]1C[C@@H]21,4.372,3.871
O=C[C@]12O[C@H]1[C@H]1N[C@@H]21,4.485,4.152
O=C[C@]12O[C@H]1[C@H]1O[C@@H]21,4.081,4.093
CC[C@]12C[C@H]1[C@H]1C[C@@H]21,5.357,5.356
CC[C@]12C[C@H]1[C@H]1C[N@@]21,5.609,5.607
CC[C@]12C[C@H]1[C@H]1N[C@@H]21,5.671,5.669
CC[C@]12C[C@H]1[C@H]1O[C@@H]21,5.746,5.741
CC[C@]12C[C@H]1[N@]1C[C@@H]21,5.694,5.691
CC[C@]12C[N@]1[C@H]1C[C@@H]21,5.69,5.688
CC[C@]12N[C@H]1[C@H]1C[C@@H]21,5.635,5.634
CC[C@]12N[C@H]1[C@H]1N[C@@H]21,5.986,5.982
CC[C@]12N[C@H]1[C@H]1O[C@@H]21,5.96,5.956
CC[C@]12O[C@H]1[C@H]1C[C@@H]21,5.765,5.761
CC[C@]12O[C@H]1[C@H]1N[C@@H]21,6.05,6.041
CC[C@]12O[C@H]1[C@H]1O[C@@H]21,6.168,6.158
CO[C@]12C[C@H]1[C@H]1C[C@@H]21,5.386,5.384
CO[C@]12C[C@H]1[C@H]1N[C@@H]21,5.692,5.689
CO[C@]12C[C@H]1[C@H]1O[C@@H]21,5.792,5.787
CO[C@]12C[C@H]1[N@]1C[C@@H]21,5.698,5.693
OC[C@]12C[C@H]1[C@H]1C[C@@H]21,5.342,5.339
OC[C@]12C[C@H]1[C@H]1C[N@@]21,5.608,5.603
OC[C@]12C[C@H]1[C@H]1N[C@@H]21,5.687,5.684
OC[C@]12C[C@H]1[C@H]1O[C@@H]21,5.748,5.744
OC[C@]12C[C@H]1[N@]1C[C@@H]21,5.712,5.709
OC[C@]12C[N@]1[C@H]1C[C@@H]21,5.702,5.699
OC[C@]12N[C@H]1[C@H]1C[C@@H]21,5.259,5.25
OC[C@]12N[C@H]1[C@H]1N[C@@H]21,5.508,5.498
OC[C@]12N[C@H]1[C@H]1O[C@@H]21,5.96,5.956
OC[C@]12O[C@H]1[C@H]1C[C@@H]21,5.786,5.781
OC[C@]12O[C@H]1[C@H]1N[C@@H]21,6.007,5.998
OC[C@]12O[C@H]1[C@H]1O[C@@H]21,6.155,6.145
N=C1N2C[C@H]2[C@]21CO2,5.361,5.332
O=C1[C@H]2C[C@H]2C21CC2,4.59,4.583
O=C1[C@H]2C[C@H]2[C@]21CN2,4.516,4.506
O=C1[C@H]2C[C@H]2[C@]21CO2,4.383,4.37
O=C1[C@H]2C[N@]2C21CC2,4.459,4.435
O=C1[C@H]2N[C@H]2C21CC2,4.453,4.442
O=C1[C@H]2N[C@H]2[C@]21CN2,4.389,4.369
O=C1[C@H]2N[C@H]2[C@]21CO2,4.162,4.143
O=C1[C@H]2O[C@H]2C21CC2,4.23,4.223
O=C1[C@H]2O[C@H]2[C@]21CN2,4.103,4.096
O=C1[C@H]2O[C@H]2[C@]21CO2,3.917,3.91
O=C1N2C[C@H]2C21CC2,4.675,4.655
O=C1N2C[C@H]2[C@]21CN2,4.675,4.651
O=C1N2C[C@H]2[C@]21CO2,4.501,4.475
C[C@H]1[C@H]2C[C@H]2C21CC2,6.713,6.71
C[C@H]1[C@H]2C[C@H]2[C@]21CO2,6.767,6.765
C[C@H]1[C@H]2N[C@H]2C21CC2,6.918,6.912
C[C@H]1[C@H]2N[C@H]2[C@]21CN2,6.848,6.825
C[C@H]1[C@H]2N[C@H]2[C@]21CO2,6.822,6.818
C[C@H]1[C@H]2O[C@H]2C21CC2,6.435,6.432
C[C@H]1[C@H]2O[C@H]2[C@]21CN2,6.391,6.382
C[C@H]1[C@H]2O[C@H]2[C@]21CO2,6.473,6.469
C[C@H]1[N@]2C[C@H]2C21CC2,6.599,6.587
C[C@H]1[N@]2C[C@H]2[C@]21CN2,6.652,6.634
C[C@H]1[N@]2C[C@H]2[C@]21CO2,6.608,6.596
O[C@H]1[C@H]2C[C@H]2C21CC2,6.629,6.624
O[C@H]1[C@H]2C[C@H]2[C@]21CN2,6.653,6.64
O[C@H]1[C@H]2C[C@H]2[C@]21CO2,6.719,6.714
O[C@H]1[C@H]2C[N@]2C21CC2,6.741,6.728
O[C@H]1[C@H]2N[C@H]2C21CC2,6.844,6.838
[O].[CH].[CH]1N[C@H]1[C]1CN1.[H],4.025,2.392
O[C@H]1[C@H]2N[C@H]2[C@]21CO2,6.781,6.776
O[C@H]1[C@H]2O[C@H]2C21CC2,6.244,6.24
O[C@H]1[C@H]2O[C@H]2[C@]21CN2,6.235,6.228
O[C@H]1[C@H]2O[C@H]2[C@]21CO2,6.254,6.248
C1CC21C=C[C@H]1C[C@@H]21,5.841,4.645
C1CC21C=C[C@H]1N[C@@H]21,5.979,4.645
C1CC21C=C[C@H]1O[C@@H]21,6.197,4.738
C1N[C@]21C=C[C@H]1C[C@@H]21,5.959,4.649
C1N[C@]21C=C[C@H]1N[C@@H]21,6.005,4.689
C1N[C@]21C=C[C@H]1O[C@@H]21,5.743,4.733
C1O[C@]21C=C[C@H]1C[C@@H]21,6.203,4.745
C1O[C@]21C=C[C@H]1N[C@@H]21,5.653,4.681
C1O[C@]21C=C[C@H]1O[C@@H]21,6.071,4.838
C1CC21CC[C@H]1C[C@@H]21,6.747,6.746
C1CC21CC[C@H]1O[C@@H]21,6.743,6.729
C1[C@H]2[N@@]1CCC12CC1,6.433,6.421
C1CC21CO[C@H]1C[C@@H]21,6.025,6.024
C1CC21OC[C@H]1C[C@@H]21,6.117,6.116
C1CC21OC[C@H]1N[C@@H]21,6.07,6.067
C1CC21OC[C@H]1O[C@@H]21,6.072,6.07
C1N[C@]21CC[C@H]1N[C@@H]21,6.476,6.466
C1N[C@]21CC[C@H]1O[C@@H]21,6.662,6.646
C1N[C@]21CC[N@]1C[C@@H]21,6.381,6.368
C1N[C@]21CO[C@H]1C[C@@H]21,6.062,6.06
C1[C@H]2CC[C@]3(CO3)[C@@H]12,6.972,6.971
C1O[C@]21CC[C@H]1N[C@@H]21,6.712,6.708
C1O[C@]21CC[C@H]1O[C@@H]21,6.673,6.663
C1O[C@]21CC[N@]1C[C@@H]21,6.468,6.454
C1O[C@]21CO[C@H]1C[C@@H]21,6.042,6.04
C1CC21CCC12CC1,6.921,6.921
C1CC21CC[C@]12CO1,7.041,7.04
C1CC21COC12CC1,6.3,6.3
C1CC21OC[C@]12CN1,6.3,6.297
C1CC21OC[C@]12CO1,6.456,6.455
C1N[C@]21CC[C@]12CN1,6.536,6.521
C1N[C@]21CC[C@]12CO1,6.616,6.604
C1O[C@]21CC[C@]12CO1,6.845,6.845
C#C[C@H]1[C@H]2C[C@@H]1C=C2,5.909,4.636
C#C[C@H]1[C@H]2O[C@@H]1C=C2,5.908,4.777
N#C[C@H]1[C@H]2C[C@@H]1C=C2,5.837,4.648
N#C[C@H]1[C@H]2N[C@@H]1C=C2,5.342,4.699
N#C[C@H]1[C@H]2O[C@@H]1C=C2,6.175,4.774
C#C[C@H]1[C@H]2C[C@@H]1CC2,7.218,7.215
C#C[C@H]1[C@H]2C[C@@H]1OC2,6.281,6.282
C#C[C@H]1[C@H]2CC[C@@H]1O2,6.692,6.687
N#C[C@H]1[C@H]2C[C@@H]1CC2,7.977,7.971
N#C[C@H]1[C@H]2C[C@@H]1OC2,6.333,6.332
N#C[C@H]1[C@H]2CC[C@@H]1N2,6.217,6.205
N#C[C@H]1[C@H]2CC[C@@H]1O2,6.698,6.692
N#C[C@H]1[C@H]2C[N@@]1CC2,6.626,6.622
O=C[C@H]1[C@H]2C[C@@H]1C=C2,4.265,4.257
O=C[C@H]1[C@H]2O[C@@H]1C=C2,3.94,3.924
O=CN1[C@H]2C[C@@H]1C=C2,5.055,4.639
O=C[C@H]1[C@H]2C[C@@H]1CC2,4.463,4.462
O=C[C@H]1[C@H]2C[C@@H]1OC2,4.314,4.321
O=C[C@H]1[C@H]2CC[C@@H]1O2,4.335,4.338
O=CN1[C@H]2C[C@@H]1CC2,5.748,5.343
CC[C@H]1[C@H]2C[C@@H]1C=C2,6.016,4.682
CC[C@H]1[C@H]2O[C@@H]1C=C2,6.181,4.796
CO[C@H]1[C@H]2C[C@@H]1C=C2,5.911,4.675
CO[C@H]1[C@H]2N[C@@H]1C=C2,5.122,4.608
CO[C@H]1[C@H]2O[C@@H]1C=C2,5.565,4.826
OC[C@H]1[C@H]2C[C@@H]1C=C2,6.007,4.689
OC[C@H]1[C@H]2O[C@@H]1C=C2,6.021,4.796
CC[C@H]1[C@H]2C[C@@H]1CC2,7.926,7.92
CC[C@H]1[C@H]2C[C@@H]1OC2,6.458,6.457
CC[C@H]1[C@H]2CC[C@@H]1O2,6.85,6.844
CO[C@H]1[C@H]2C[C@@H]1CC2,6.601,6.596
CO[C@H]1[C@H]2C[C@@H]1OC2,6.051,6.049
CO[C@H]1[C@H]2CC[C@@H]1O2,6.473,6.47
OC[C@H]1[C@H]2C[C@@H]1CC2,7.038,7.032
OC[C@H]1[C@H]2C[C@@H]1OC2,6.505,6.504
OC[C@H]1[C@H]2CC[C@@H]1O2,6.815,6.808
C#C[C@H]1[C@H]2C=CC[N@@]12,5.445,4.692
C#C[C@H]1[C@H]2CC=C[C@@H]12,5.734,4.821
C#C[C@H]1[C@H]2CN=CN12,5.179,4.911
C#C[C@H]1[C@H]2OC=N[C@@H]12,5.6,5.281
N#C[C@H]1[C@H]2C=CC[N@@]12,5.541,4.761
N#C[C@H]1[C@H]2CC=C[C@@H]12,5.383,4.851
N#C[C@H]1[C@H]2CN=CN12,5.154,5.01
N#C[C@H]1[C@H]2OC=N[C@@H]12,6.008,5.468
C#C[C@H]1[C@H]2CCC[C@@H]12,6.713,6.712
C#C[C@H]1[C@H]2CCC[N@@]12,6.18,6.17
C#C[C@H]1[C@H]2CCO[C@@H]12,5.752,5.75
C#C[C@H]1[C@H]2COC[C@@H]12,6.46,6.453
C#C[C@H]1[C@H]2OCO[C@@H]12,5.516,5.51
N#C[C@H]1[C@H]2CCC[C@@H]12,7.258,7.256
N#C[C@H]1[C@H]2CCC[N@@]12,6.327,6.316
N#C[C@H]1[C@H]2CCO[C@@H]12,5.873,5.869
N#C[C@H]1[C@H]2COC[C@@H]12,6.464,6.456
N#C[C@H]1[C@H]2OCO[C@@H]12,5.541,5.536
O=C[C@H]1[C@H]2C=CC[N@@]12,4.236,4.083
O=C[C@H]1[C@H]2CC=C[C@@H]12,4.041,3.977
O=C[C@H]1[C@H]2CN=CN12,4.045,4.019
O=C[C@H]1[C@H]2OC=N[C@@H]12,4.136,4.136
O=CN1[C@H]2CC=C[C@@H]12,5.246,4.911
O=C[C@H]1[C@H]2CCC[C@@H]12,4.452,4.451
O=C[C@H]1[C@H]2CCC[N@@]12,4.142,4.138
O=C[C@H]1[C@H]2CCO[C@@H]12,4.121,4.098
O=C[C@H]1[C@H]2COC[C@@H]12,4.412,4.408
O=C[C@H]1[C@H]2OCO[C@@H]12,4.422,4.403
O=CN1[C@H]2CCC[C@@H]12,5.376,5.145
O=CN1[C@H]2COC[C@@H]12,5.083,4.936
CC[C@H]1[C@H]2CC=C[C@@H]12,5.481,4.83
CC[C@H]1[C@H]2OC=N[C@@H]12,5.674,5.366
CN[C@H]1[C@H]2OC=N[C@@H]12,4.805,4.749
CO[C@H]1[C@H]2CC=C[C@@H]12,5.306,4.863
CO[C@H]1[C@H]2OC=N[C@@H]12,5.344,5.18
OC[C@H]1[C@H]2C=CC[N@@]12,5.409,4.707
OC[C@H]1[C@H]2CC=C[C@@H]12,5.604,4.837
OC[C@H]1[C@H]2OC=N[C@@H]12,5.644,5.358
CC[C@H]1[C@H]2CCC[C@@H]12,7.077,7.076
CC[C@H]1[C@H]2CCO[C@@H]12,6.003,5.999
CC[C@H]1[C@H]2COC[C@@H]12,6.568,6.562
CC[C@H]1[C@H]2OCO[C@@H]12,5.893,5.89
CCN1[C@H]2COC[C@@H]12,5.925,5.898
CO[C@H]1[C@H]2CCC[C@@H]12,6.217,6.214
CO[C@H]1[C@H]2CCO[C@@H]12,5.439,5.437
CO[C@H]1[C@H]2COC[C@@H]12,6.29,6.287
CO[C@H]1[C@H]2OCO[C@@H]12,5.335,5.332
OC[C@H]1[C@H]2CCC[C@@H]12,6.874,6.87
OC[C@H]1[C@H]2CCC[N@@]12,6.164,6.156
OC[C@H]1[C@H]2CCO[C@@H]12,6.091,6.087
OC[C@H]1[C@H]2COC[C@@H]12,6.538,6.531
OC[C@H]1[C@H]2OCO[C@@H]12,5.583,5.581
C#C[C@@]12[C@H]3C[C@@H]1C[C@@H]23,5.96,5.96
C#C[C@@]12[C@H]3C[C@@H]1C[N@@]23,6.249,6.244
C#C[C@@]12[C@H]3C[C@@H]1O[C@@H]23,5.874,5.873
C#C[C@@]12[C@H]3C[N@@]1C[C@@H]23,6.058,6.057
N#C[C@@]12[C@H]3C[C@@H]1C[C@@H]23,6.302,6.302
N#C[C@@]12[C@H]3C[C@@H]1C[N@@]23,6.549,6.546
N#C[C@@]12[C@H]3C[C@@H]1N[C@@H]23,6.059,6.055
N#C[C@@]12[C@H]3C[C@@H]1O[C@@H]23,6.019,6.017
N#C[C@@]12[C@H]3C[N@@]1C[C@@H]23,6.401,6.4
O=C[C@@]12[C@H]3C[C@@H]1C[C@@H]23,4.608,4.606
O=C[C@@]12[C@H]3C[C@@H]1C[N@@]23,4.067,4.092
O=C[C@@]12[C@H]3C[C@@H]1O[C@@H]23,4.066,4.063
O=C[C@@]12[C@H]3C[N@@]1C[C@@H]23,4.536,4.519
CC[C@@]12[C@H]3C[C@@H]1C[C@@H]23,6.272,6.27
CC[C@@]12[C@H]3C[C@@H]1C[N@@]23,6.45,6.445
CC[C@@]12[C@H]3C[C@@H]1O[C@@H]23,6.02,6.015
CO[C@@]12[C@H]3C[C@@H]1C[C@@H]23,6.021,6.016
CO[C@@]12[C@H]3C[C@@H]1O[C@@H]23,5.832,5.826
OC[C@@]12[C@H]3C[C@@H]1C[C@@H]23,6.326,6.324
OC[C@@]12[C@H]3C[C@@H]1C[N@@]23,6.484,6.479
OC[C@@]12[C@H]3C[C@@H]1O[C@@H]23,6.035,6.032
OC[C@@]12[C@H]3C[N@@]1C[C@@H]23,6.421,6.419
C1CC21[C@H]1C[C@@H]2C=C1,6.017,4.667
C1CC21[C@H]1O[C@@H]2C=C1,6.198,4.801
C1N[C@]21[C@H]1N[C@@H]2C=C1,5.623,4.548
C1N[C@]21[C@H]1O[C@@H]2C=C1,6.013,4.788
C1O[C@]21[C@H]1C[C@@H]2C=C1,6.003,4.733
C1O[C@]21[C@H]1N[C@@H]2C=C1,5.742,4.602
C1O[C@]21[C@H]1O[C@@H]2C=C1,6.361,4.84
C1CC21[C@H]1C[C@@H]2CC1,7.314,7.314
C1CC21[C@H]1C[C@@H]2OC1,6.493,6.492
C1CC21[C@H]1CC[C@@H]2O1,6.898,6.891
C1N[C@]21[C@H]1C[C@@H]2OC1,6.327,6.319
C1N[C@]21[C@H]1CC[C@@H]2O1,6.648,6.625
C1O[C@]21[C@H]1C[C@@H]2CC1,6.804,6.804
C1O[C@]21[C@H]1C[C@@H]2OC1,6.193,6.19
C1O[C@]21[C@H]1CC[C@@H]2O1,6.824,6.822
O=C1[C@H]2C[C@@H]1[C@H]1C[C@@H]21,4.472,4.445
O=C1[C@H]2C[C@@H]1[C@H]1N[C@@H]21,4.528,4.505
O=C1[C@H]2C[C@@H]1[C@H]1O[C@@H]21,4.623,4.599
O=C1[C@H]2C[C@@H]1[N@]1C[C@@H]21,4.235,4.206
O=C1[C@H]2N[C@@H]1[C@H]1C[C@@H]21,4.6,4.514
O=C1[C@H]2N[C@@H]1[C@H]1N[C@@H]21,4.375,4.346
O=C1[C@H]2N[C@@H]1[C@H]1O[C@@H]21,4.48,4.458
O=C1[C@H]2O[C@@H]1[C@H]1C[C@@H]21,4.698,4.624
O=C1[C@H]2O[C@@H]1[C@H]1N[C@@H]21,4.693,4.62
O=C1[C@H]2O[C@@H]1[C@H]1O[C@@H]21,4.715,4.657
C[C@H]1[C@H]2C[C@@H]1[C@H]1C[C@@H]21,6.632,6.63
C[C@H]1[C@H]2C[C@@H]1[C@H]1O[C@@H]21,6.541,6.53
C[C@H]1[C@H]2C[C@@H]1[N@]1C[C@@H]21,6.327,6.315
C[C@H]1[C@H]2O[C@@H]1[C@H]1C[C@@H]21,6.818,6.817
C[C@H]1[C@H]2O[C@@H]1[C@H]1N[C@@H]21,6.433,6.43
C[C@H]1[C@H]2O[C@@H]1[C@H]1O[C@@H]21,6.169,6.16
CN1[C@H]2C[C@@H]1[C@H]1N[C@@H]21,5.498,5.487
CN1[C@H]2C[C@@H]1[C@H]1O[C@@H]21,5.597,5.588
O[C@H]1[C@H]2C[C@@H]1[C@H]1C[C@@H]21,6.487,6.481
O[C@H]1[C@H]2C[C@@H]1[C@H]1N[C@@H]21,6.684,6.679
O[C@H]1[C@H]2C[C@@H]1[C@H]1O[C@@H]21,6.426,6.411
O[C@H]1[C@H]2C[C@@H]1[N@]1C[C@@H]21,6.235,6.225
O[C@H]1[C@H]2N[C@@H]1[C@H]1N[C@@H]21,6.18,6.176
O[C@H]1[C@H]2N[C@@H]1[C@H]1O[C@@H]21,5.961,5.953
O[C@H]1[C@H]2O[C@@H]1[C@H]1C[C@@H]21,6.802,6.801
O[C@H]1[C@H]2O[C@@H]1[C@H]1N[C@@H]21,6.441,6.438
O[C@H]1[C@H]2O[C@@H]1[C@H]1O[C@@H]21,6.161,6.153
C[C@H]1[C@@H]2[C@H]3[C@H]([N@@]13)C2=O,4.75,4.742
C[C@H]1[C@H]2[C@H]3[C@@H]1C(=O)N23,5.049,5.031
C[C@H]1[C@@H]2[C@H]3[C@@H]2C(=O)[C@@H]13,4.893,4.877
C[C@H]1[C@@H]2[C@H]3[C@@H]2C(=O)N13,5.163,5.138
C[C@H]1[C@H]2[C@@H]3[N@]2[C@H]1C3=O,4.658,4.638
CN1[C@@H]2[C@H]3[C@@H]2C(=O)[C@@H]13,4.515,4.477
O[C@H]1[C@H]2[C@H]3[C@@H]1C(=O)N23,5.036,5.017
O[C@H]1[C@@H]2[C@H]3[C@@H]2C(=O)[C@@H]13,4.883,4.867
O[C@H]1[C@H]2[C@@H]3[N@]2[C@H]1C3=O,4.698,4.677
C[C@H]1[C@H]2[C@H]3[C@@H](C)[C@@H]1[N@@]23,6.987,6.976
C[C@H]1[C@@H]2[C@H]3[C@@H]([C@H]2O)[N@@]13,6.435,6.427
C[C@H]1[C@H]2[C@H]3[C@@H](O)[C@@H]1[N@@]23,6.988,6.984
C[C@H]1[C@H]2[C@H]3[C@@H]1[C@@H](C)[N@@]23,6.643,6.633
C[C@H]1[C@H]2[C@@H]3[C@H]2[C@H]1[C@H]3C,6.548,6.546
C[C@H]1[C@H]2[C@@H]3[C@H]2[C@H]1[C@H]3O,6.5,6.498
O[C@H]1[C@H]2[C@H]3[C@@H](O)[C@@H]1[N@@]23,6.684,6.678
O[C@H]1[C@H]2[C@@H]3[C@H]2[C@H]1[C@H]3O,6.352,6.347
C1CC21[C@H]1[C@H]3[C@@H]2C[N@@]13,6.541,6.535
C1CC21[C@H]1[C@H]3C[C@@H]2[C@@H]13,6.455,6.454
C1CC21[C@H]1[C@H]3C[C@@H]2[N@@]13,6.588,6.579
C1CC21[C@H]1[C@H]3C[N@@]2[C@@H]13,6.444,6.442
C1CC21[C@H]1[C@H]3O[C@@H]2[C@@H]13,6.029,6.027
C1CC21[C@H]1C[C@@H]3[C@H]1[N@]23,6.635,6.629
C1N[C@]21[C@H]1[C@H]3[C@@H]2C[N@@]13,6.602,6.592
C1N[C@]21[C@H]1[C@H]3C[C@@H]2[N@@]13,6.536,6.518
C1N[C@]21[C@H]1[C@H]3O[C@@H]2[C@@H]13,5.937,5.934
C1O[C@]21[C@H]1[C@H]3[C@@H]2C[N@@]13,6.623,6.617
C1O[C@]21[C@H]1[C@H]3C[C@@H]2[C@@H]13,6.492,6.49
C1O[C@]21[C@H]1[C@H]3C[C@@H]2[N@@]13,6.667,6.659
C1O[C@]21[C@H]1[C@H]3O[C@@H]2[C@@H]13,5.956,5.954
C#C[C@@]12[C@@H]3[C@H]4[C@@H]([C@H]13)[N@@]24,5.173,4.247
C#C[C@@]12[C@H]3[C@H]4[C@@H]1[N@]4[C@@H]23,5.718,5.713
C#C[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1[C@@H]24,5.721,5.719
C#C[C@@]12[C@@H]3[C@H]4[C@@H]3[N@@]1[C@@H]24,5.791,5.788
N#C[C@@]12[C@@H]3[C@H]4[C@@H]([C@H]13)[N@@]24,5.978,5.972
N#C[C@@]12[C@H]3[C@H]4[C@@H]1[N@]4[C@@H]23,5.842,5.837
N#C[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1[C@@H]24,5.872,5.871
N#C[C@@]12[C@@H]3[C@H]4[C@@H]3[N@@]1[C@@H]24,5.881,5.877
O=C[C@@]12[C@@H]3[C@H]4[C@@H]([C@H]13)[N@@]24,4.314,4.138
O=C[C@@]12[C@H]3[C@H]4[C@@H]1[N@]4[C@@H]23,4.229,4.204
O=C[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1[C@@H]24,4.383,4.34
O=C[C@@]12[C@@H]3[C@H]4[C@@H]3[N@@]1[C@@H]24,4.069,3.942
CC[C@@]12[C@@H]3[C@H]4[C@@H]([C@H]13)[N@@]24,5.883,5.879
CC[C@@]12[C@H]3[C@H]4[C@@H]1[N@]4[C@@H]23,5.89,5.883
CC[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1[C@@H]24,5.916,5.914
CC[C@@]12[C@@H]3[C@H]4[C@@H]3[N@@]1[C@@H]24,5.862,5.859
CO[C@@]12[C@H]3[C@H]4[C@@H]1[N@]4[C@@H]23,5.805,5.799
CO[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1[C@@H]24,5.73,5.726
OC[C@@]12[C@@H]3[C@H]4[C@@H]([C@H]13)[N@@]24,4.89,4.648
OC[C@@]12[C@H]3[C@H]4[C@@H]1[N@]4[C@@H]23,5.883,5.876
OC[C@@]12[C@@H]3[C@H]4[C@@H]3[C@@H]1[C@@H]24,5.926,5.924
OC[C@@]12[C@@H]3[C@H]4[C@@H]3[N@@]1[C@@H]24,5.853,5.85
O=C1[C@H]2C[C@@H]3C[C@H]2[C@H]13,4.636,4.618
O=C1[C@H]2C[C@@H]3C[N@]2[C@H]13,4.408,4.399
O=C1[C@H]2C[C@@H]3O[C@H]2[C@H]13,4.63,4.619
O=C1[C@H]2C[N@@]3C[C@H]2[C@H]13,4.646,4.623
O=C1[C@H]2O[C@@H]3C[C@H]2[C@H]13,4.191,4.156
C[C@H]1[C@H]2C[C@@H]3C[C@H]2[C@H]13,7.331,7.329
C[C@H]1[C@H]2C[C@@H]3O[C@H]2[C@H]13,6.486,6.483
C[C@H]1[C@H]2O[C@@H]3C[C@H]2[C@H]13,6.412,6.408
CN1[C@H]2C[C@@H]3O[C@H]2[C@H]13,5.804,5.79
O[C@H]1[C@H]2C[C@@H]3C[C@H]2[C@H]13,6.97,6.966
O[C@H]1[C@H]2C[C@@H]3C[N@]2[C@H]13,6.777,6.769
O[C@H]1[C@H]2C[C@@H]3O[C@H]2[C@H]13,6.442,6.439
O[C@H]1[C@H]2C[N@@]3C[C@H]2[C@H]13,6.568,6.565
O[C@H]1[C@H]2O[C@@H]3C[C@H]2[C@H]13,6.172,6.168
C#C[C@H]1[C@H]2[C@H]3[C@@H]1C[N@@]23,6.462,6.455
C#C[C@H]1[C@H]2[C@H]3C[C@@H]1[C@@H]23,6.407,6.405
C#C[C@H]1[C@H]2[C@H]3C[C@@H]1[N@@]23,6.852,6.841
C#C[C@H]1[C@H]2[C@H]3C[N@@]1[C@@H]23,6.521,6.518
C#C[C@H]1[C@H]2[C@H]3O[C@@H]1[C@@H]23,5.858,5.856
C#C[C@H]1[C@H]2C[C@@H]3[C@H]2[N@]13,6.475,6.468
N#C[C@H]1[C@H]2[C@H]3[C@@H]1C[N@@]23,6.404,6.399
N#C[C@H]1[C@H]2[C@H]3C[C@@H]1[C@@H]23,6.384,6.382
N#C[C@H]1[C@H]2[C@H]3C[C@@H]1[N@@]23,6.745,6.735
